Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14141    0.010    0.000    0.013    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2944(is_capture)
    32030    0.013    0.000    0.013    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:446(__init__)
    57901    0.013    0.000    0.013    0.000 {built-in method builtins.max}
    15517    0.012    0.000    0.012    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.012    0.012 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\ssl.py:1(<module>)
    14166    0.008    0.000    0.012    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3280(_is_safe)
    17864    0.012    0.000    0.012    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2949(is_zeroing)
    24397    0.008    0.000    0.010    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:211(msb)
        1    0.000    0.000    0.010    0.010 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\shutil.py:1(<module>)
    14121    0.004    0.000    0.009    0.000 chesstest7.py:31(<lambda>)
      631    0.005    0.000    0.009    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3354(generate_castling_moves)
        1    0.000    0.000    0.009    0.009 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\socket.py:1(<module>)
    38479    0.009    0.000    0.009    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2993(clean_castling_rights)
     7458    0.007    0.000    0.009    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3075(has_queenside_castling_rights)
        1    0.000    0.000    0.009    0.009 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\__init__.py:1(<module>)
      327    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      327    0.008    0.000    0.008    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.008    0.008 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\_base.py:1(<module>)
