Tue Jun 27 21:54:29 2023    profiling_result.prof

         1976220 function calls (1971581 primitive calls) in 3.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1016(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\locks.py:1(<module>)
        9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:622(_code)
    59/37    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:401(__getitem__)
     2534    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:377(between)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      292    0.001    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:89(__setitem__)
       61    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        7    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     95/9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:87(_compile)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
     2536    0.001    0.000    0.001    0.000 {method '_release_save' of '_thread.RLock' objects}
       35    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:483(Union)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     2537    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:1156(dataclass)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:1174(wrap)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:881(_process_class)
     2536    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\coroutines.py:177(iscoroutine)
      637    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3261(_slider_blockers)
     3726    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:279(hash_turn)
     1016    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:321(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:320(<listcomp>)
       38    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1138(__getitem__)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\logging\__init__.py:445(StrFormatStyle)
     2537    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\_base.py:400(__get_result)
      219    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:146(_type_check)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3556(__repr__)
       21    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3557(<genexpr>)
       22    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:523(Optional)
      770    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:986(__setattr__)
        3    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\fnmatch.py:1(<module>)
     2916    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\string.py:1(<module>)
       12    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:553(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\sslproto.py:1(<module>)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2536    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:2332(_timeout_for)
       47    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1147(copy_with)
     2536    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
     5074    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        7    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\collections\__init__.py:328(namedtuple)
      630    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1416(legal_moves)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\string.py:69(__init_subclass__)
     4377    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2627(san)
